# LISTE COMPLÈTE DES ÉVÉNEMENTS ÉCONOMIQUES – VERSION DÉFINITIVE
# Format: Pays | Événement Original → Traduction française | Jour & Heure habituelle
# TOUS les événements de la base de données (423 events)
# Chaque événement est rattaché à UN SEUL PAYS
# Aucun doublon – Aucun événement flottant
# Date: 15 novembre 2025
# Généré automatiquement depuis: traduction.txt + DB + mapping fallback


## 🇺🇸 ÉTATS-UNIS – 169 événements
US | ADP Non-Farm Employment Change → Variation de l’emploi non agricole (ADP) | Mercredi (2 jours avant NFP) – 14h15
US | Flash Employment Change q/q → Variation flash de l’emploi | Trimestriel (flash) – 14h30
US | Flash GDP q/q → Produit intérieur brut flash | Trimestriel (flash) – 14h30
US | Flash Manufacturing PMI → Indice des directeurs d’achat manufacturier flash | 23e du mois – 15h45
US | Flash Services PMI → Indice des directeurs d’achat des services flash | 23e – 15h45
US | Foreign Securities Purchases → Achats de titres étrangers | 15e – 22h00
US | GDP q/q → Produit intérieur brut | Trimestriel – 14h30
US | Goods Trade Balance → Balance commerciale des biens | 4e semaine – 14h30
US | HPI m/m → Indice des prix immobiliers | 4e mardi – 15h00
US | HPI y/y → Indice des prix immobiliers | 4e mardi – 15h00
US | Household Spending m/m → Dépenses des ménages | 4e semaine – 14h30
US | Household Spending y/y → Dépenses des ménages | 4e semaine – 14h30
US | Housing Starts → Mises en chantier de logements | 3e semaine – 14h30
US | Housing Starts y/y → Mises en chantier de logements | 3e semaine – 14h30
US | ISM Manufacturing PMI → Indice des directeurs d’achat manufacturier ISM | 1er jour ouvré – 16h00
US | ISM Manufacturing Prices → Prix payés dans l’industrie (ISM) | 1er jour ouvré – 16h00
US | ISM Services PMI → Indice des directeurs d’achat des services ISM | 3e jour ouvré – 16h00
US | Import Prices m/m → Prix à l’importation | 2e semaine – 14h30
US | Import Prices q/q → Prix à l’importation | 2e semaine – 14h30
US | Industrial Production m/m → Production industrielle | 3e semaine – 15h15
US | Industrial Production y/y → Production industrielle | 3e semaine – 15h15
US | JOLTS Job Openings → Offres d’emploi (JOLTS) | Mardi (1er semaine) – 16h00
US | Jackson Hole Symposium → Symposium de Jackson Hole | Août – variable
US | Labor Cost Index q/q → Indice du coût de la main-d’œuvre | Trimestriel – 14h30
US | Labor Productivity q/q → Productivité du travail | 1ère semaine – 14h30
US | Leading Indicators → Indicateurs avancés | 3e semaine – 16h00
US | MI Inflation Expectations → Attentes d’inflation (Michigan) | 2e/4e vendredi – 16h00
US | MI Inflation Gauge m/m → Jauge d’inflation Michigan | 2e/4e vendredi – 16h00
US | MI Leading Index m/m → Indice avancé Michigan | 2e/4e vendredi – 16h00
US | Manufacturing PMI → Indice des directeurs d’achat manufacturier | 1er jour ouvré – 15h45
US | Median CPI y/y → Indice des prix à la consommation médian | 2e semaine – 14h30
US | Monetary Base y/y → Base monétaire | 15e – 22h00
US | Mortgage Approvals → Approbations de crédits hypothécaires | Variable – 15h00
US | Mortgage Delinquencies → Retards de paiement hypothécaires | Variable – 15h00
US | NAHB Housing Market Index → Indice du marché immobilier NAHB | 3e semaine – 16h00
US | NFIB Small Business Index → Indice des petites entreprises NFIB | 2e mardi – 12h00
US | Natural Gas Storage → Stocks de gaz naturel | Jeudi – 16h30
US | New Home Prices m/m → Prix des logements neufs | 4e semaine – 16h00
US | New Home Sales → Ventes de logements neufs | 4e semaine – 16h00
US | Non-Farm Employment Change → Variation de l’emploi non agricole | 1er vendredi du mois – 14h30
US | Non-Manufacturing PMI → Indice des directeurs d’achat des services | 3e jour ouvré – 15h45
US | PPI Input m/m → Indice des prix à la production des intrants | 2e semaine – 14h30
US | PPI Input q/q → Indice des prix à la production des intrants | 2e semaine – 14h30
US | PPI Output m/m → Indice des prix à la production des extrants | 2e semaine – 14h30
US | PPI Output q/q → Indice des prix à la production des extrants | 2e semaine – 14h30
US | PPI m/m → Indice des prix à la production | 2e semaine – 14h30
US | PPI q/q → Indice des prix à la production | 2e semaine – 14h30
US | PPI y/y → Indice des prix à la production | 2e semaine – 14h30
US | Pending Home Sales m/m → Ventes de logements en attente | 4e semaine – 16h00
US | Personal Income m/m → Revenu personnel | 4e semaine – 14h30
US | Personal Spending m/m → Dépenses de consommation personnelle | 4e semaine – 14h30
US | Philly Fed Manufacturing Index → Indice manufacturier de Philadelphie | 3e jeudi – 14h30
US | Prelim Business Investment q/q → Investissement des entreprises préliminaire | Trimestriel – 14h30
US | Prelim Flash GDP q/q → Produit intérieur brut flash préliminaire | Trimestriel – 14h30
US | Prelim GDP Price Index q/q → Indice préliminaire des prix du PIB | Trimestriel – 14h30
US | Prelim GDP Price Index y/y → Indice préliminaire des prix du PIB | Trimestriel – 14h30
US | Prelim GDP q/q → Produit intérieur brut préliminaire | Trimestriel – 14h30
US | Prelim Industrial Production m/m → Production industrielle préliminaire | 3e semaine – 15h15
US | Prelim Nonfarm Productivity q/q → Productivité non agricole préliminaire | 1ère semaine – 14h30
US | Prelim Unit Labor Costs q/q → Coûts unitaires de main-d’œuvre préliminaires | 1ère semaine – 14h30
US | Prelim UoM Consumer Sentiment → Indice préliminaire du sentiment des consommateurs (Université du Michigan) | 2e vendredi – 16h00
US | Prelim UoM Inflation Expectations → Attentes d’inflation préliminaires (Université du Michigan) | 2e vendredi – 16h00
US | Prelim Wholesale Inventories m/m → Stocks de grossistes préliminaires | 2e semaine – 16h00
US | President Biden Speaks → Discours du président Biden | Variable
US | President Trump Speaks → Discours du président Trump | Variable
US | Presidential Election → Élection présidentielle | Nov. 2028 – non planifié
US | RCM/TIPP Economic Optimism → Indice d’optimisme économique RCM/TIPP | 2e semaine – 16h00
US | Retail Sales m/m → Ventes au détail | 2e semaine – 14h30
US | Retail Sales q/q → Ventes au détail | 2e semaine – 14h30
US | Retail Sales y/y → Ventes au détail | 2e semaine – 14h30
US | Revised Business Investment q/q → Investissement des entreprises révisé | Trimestriel – 14h30
US | Revised GDP q/q → Produit intérieur brut révisé | Trimestriel – 14h30
US | Revised Industrial Production m/m → Production industrielle révisée | 3e semaine – 15h15
US | Revised Nonfarm Productivity q/q → Productivité non agricole révisée | 1ère semaine – 14h30
US | Revised Unit Labor Costs q/q → Coûts unitaires de main-d’œuvre révisés | 1ère semaine – 14h30
US | Revised UoM Consumer Sentiment → Indice révisé du sentiment des consommateurs (Université du Michigan) | 4e vendredi – 16h00
US | Revised UoM Inflation Expectations → Attentes d’inflation révisées (Université du Michigan) | 4e vendredi – 16h00
US | Richmond Manufacturing Index → Indice manufacturier de Richmond | 4e mardi – 16h00
US | TIC Long-Term Purchases → Achats nets de titres à long terme par les étrangers | 15e – 22h00
US | Trade Balance → Balance commerciale | 1ère semaine – 14h30
US | Treasury Currency Report → Rapport sur les monnaies du Trésor | Avril & Octobre – 22h00
US | Treasury Sec Yellen Speaks → Discours de la secrétaire au Trésor Yellen | Variable
US | Trimmed CPI y/y → Indice des prix à la consommation ajusté | 2e semaine – 14h30
US | Trimmed Mean CPI q/q → Indice des prix à la consommation moyen ajusté | 2e semaine – 14h30
US | USD-Denominated Trade Balance → Balance commerciale libellée en dollars | 1ère semaine – 14h30
US | Unemployment Claims → Demandes d’allocations chômage | Jeudi – 14h30
US | Unemployment Rate → Taux de chômage | 1er vendredi – 14h30
US | Wards Total Vehicle Sales → Ventes totales de véhicules Wards | Variable
US | Wholesale Sales m/m → Ventes en gros | 2e semaine – 16h00

## 🇪🇺 ZONE EURO – 17 événements
EU | ECB Economic Bulletin → Bulletin économique de la BCE | Variable – 10h00
EU | ECB Financial Stability Review → Revue de la stabilité financière de la BCE | Mai & Nov. – 10h00
EU | ECB Monetary Policy Meeting Accounts → Comptes rendus de la réunion de politique monétaire de la BCE | 4 semaines après – 13h30
EU | ECB President Lagarde Speaks → Discours de la présidente de la BCE Lagarde | Variable
EU | ECB Press Conference → Conférence de presse de la BCE | BCE – 14h45
EU | ECOFIN Meetings → Réunions de l’ECOFIN | Mensuel – variable
EU | EU Economic Forecasts → Prévisions économiques de l’Union européenne | Février, Mai, Nov. – 11h00
EU | Euro Summit → Sommet de la zone euro | Variable
EU | Eurogroup Meetings → Réunions de l’Eurogroupe | Mensuel – variable
EU | European Parliamentary Elections → Élections au Parlement européen | Juin (tous les 5 ans)
EU | Main Refinancing Rate → Taux de refinancement principal | BCE – 13h45
EU | Monetary Policy Meeting Minutes → Procès-verbal de la réunion de politique monétaire | 4 semaines après – 13h30
EU | Monetary Policy Report Hearings → Auditions sur le rapport de politique monétaire | Variable
EU | Monetary Policy Statement → Déclaration de politique monétaire | BCE – 13h45
EU | Monetary Policy Summary → Résumé de la politique monétaire | BCE – 13h45
EU | Summary of Monetary Policy Discussions → Résumé des discussions de politique monétaire | 4 semaines après – 13h30
EU | WEF Annual Meetings → Réunions annuelles du Forum économique mondial | Janvier – variable

## 🇩🇪 ALLEMAGNE – 28 événements
DE | Annual Budget Release → Publication du budget annuel | Variable (Bundeshaushalt)
DE | German 10-y Bond Auction → Adjudication d’obligations allemandes à 10 ans | Mercredi – 11h30
DE | German 30-y Bond Auction → Adjudication d’obligations allemandes à 30 ans | Variable
DE | German Bank Holiday → Jour férié allemand | Variable
DE | German Buba Monthly Report → Rapport mensuel de la Bundesbank | 15e – 12h00
DE | German Buba President Nagel Speaks → Discours du président Nagel (Bundesbank) | Variable
DE | German Factory Orders m/m → Commandes à l’industrie allemandes | 6e – 08h00
DE | German Federal Elections → Élections fédérales allemandes | Sept. 2025 – non planifié
DE | German Final CPI m/m → Indice des prix à la consommation allemand final | 12e – 14h00
DE | German Final GDP q/q → Produit intérieur brut allemand final | 45e jour – 08h00
DE | German Final Manufacturing PMI → Indice des directeurs d’achat manufacturier allemand final | 1er jour ouvré – 09h30
DE | German Final Services PMI → Indice des directeurs d’achat des services allemand final | 4e jour ouvré – 09h30
DE | German Flash Manufacturing PMI → Indice des directeurs d’achat manufacturier allemand flash | 23e – 09h30
DE | German Flash Services PMI → Indice des directeurs d’achat des services allemand flash | 23e – 09h30
DE | German GfK Consumer Climate → Climat des consommateurs GfK allemand | 27e – 08h00
DE | German Import Prices m/m → Prix à l’importation allemands | 30e – 08h00
DE | German Industrial Production m/m → Production industrielle allemande | 7e – 08h00
DE | German PPI m/m → Indice des prix à la production allemand | 20e – 08h00
DE | German Prelim CPI m/m → Indice des prix à la consommation allemand préliminaire | 30e – 14h00
DE | German Prelim GDP q/q → Produit intérieur brut allemand préliminaire | 30e – 08h00
DE | German Retail Sales m/m → Ventes au détail allemandes | 30e – 08h00
DE | German Trade Balance → Balance commerciale allemande | 8e – 08h00
DE | German Unemployment Change → Variation du chômage allemand | 1er jour ouvré – 09h55
DE | German WPI m/m → Indice des prix de gros allemand | 15e – 08h00
DE | German ZEW Economic Sentiment → Sentiment économique ZEW allemand | 2e mardi – 11h00
DE | German ifo Business Climate → Climat des affaires ifo allemand | 25e – 10h00
DE | Sentix Investor Confidence → Confiance des investisseurs Sentix | Variable
DE | ZEW Economic Sentiment → Sentiment économique ZEW | 2e mardi – 11h00

## 🇬🇧 ROYAUME-UNI – 46 événements
GB | Autumn Forecast Statement → Déclaration de prévisions d’automne | Novembre – variable
GB | Average Earnings Index 3m/y → Indice des salaires moyens sur 3 mois | 2e mardi – 08h00
GB | BOE Credit Conditions Survey → Enquête sur les conditions de crédit de la Banque d’Angleterre | Trimestriel – 12h00
GB | BOE Financial Stability Report → Rapport de stabilité financière de la Banque d’Angleterre | Juin & Déc. – 12h00
GB | BOE Gov Bailey Speaks → Discours du gouverneur Bailey | Variable
GB | BOE Inflation Letter → Lettre sur l’inflation de la Banque d’Angleterre | Variable
GB | BOE Monetary Policy Report → Rapport de politique monétaire de la Banque d’Angleterre | Trimestriel – 12h00
GB | BOE Quarterly Bulletin → Bulletin trimestriel de la Banque d’Angleterre | Trimestriel – 12h00
GB | BRC Retail Sales Monitor y/y → Moniteur des ventes au détail BRC | 1er mardi – 01h01
GB | BRC Shop Price Index y/y → Indice des prix en magasin BRC | 1er mercredi – 01h01
GB | CBI Industrial Order Expectations → Attentes de commandes industrielles CBI | 25e – 12h00
GB | CBI Realized Sales → Ventes réalisées CBI | 25e – 12h00
GB | Claimant Count Change → Variation du nombre de demandeurs d’emploi | 2e mardi – 08h00
GB | Construction Output m/m → Production dans la construction | 10e – 08h00
GB | Construction Work Done q/q → Travaux de construction effectués | 10e – 08h00
GB | FPC Meeting Minutes → Procès-verbal de la réunion du FPC | Variable
GB | FPC Statement → Communiqué du FPC | Variable
GB | GfK Consumer Confidence → Confiance des consommateurs GfK | Dernier vendredi – 01h01
GB | Halifax HPI m/m → Indice des prix immobiliers Halifax | 7e – 09h00
GB | Housing Equity Withdrawal q/q → Retrait d’équité immobilière | Trimestriel – 08h00
GB | IPPI m/m → Indice des prix à la production des intrants | 3e mercredi – 08h00
GB | Index of Services 3m/3m → Indice des services sur 3 mois | 10e – 08h00
GB | MPC Member Breeden Speaks → Discours du membre Breeden du MPC | Variable
GB | MPC Member Broadbent Speaks → Discours du membre Broadbent du MPC | Variable
GB | MPC Member Dhingra Speaks → Discours du membre Dhingra du MPC | Variable
GB | MPC Member Greene Speaks → Discours du membre Greene du MPC | Variable
GB | MPC Member Haskel Speaks → Discours du membre Haskel du MPC | Variable
GB | MPC Member Lombardelli Speaks → Discours du membre Lombardelli du MPC | Variable
GB | MPC Member Mann Speaks → Discours du membre Mann du MPC | Variable
GB | MPC Member Pill Speaks → Discours du membre Pill du MPC | Variable
GB | MPC Member Ramsden Speaks → Discours du membre Ramsden du MPC | Variable
GB | MPC Member Taylor Speaks → Discours du membre Taylor du MPC | Variable
GB | MPC Official Bank Rate Votes → Votes sur le taux officiel du MPC | MPC – 13h00
GB | NIESR GDP Estimate → Estimation du PIB par le NIESR | Variable
GB | Nationwide HPI m/m → Indice des prix immobiliers Nationwide | 30e – 08h00
GB | Net Lending to Individuals m/m → Prêts nets aux particuliers | 30e – 10h30
GB | Official Bank Rate → Taux d’intérêt officiel de la Banque d’Angleterre | MPC – 13h00
GB | Overseas Trade Index q/q → Indice du commerce extérieur | Trimestriel – 08h00
GB | Parliamentary Elections → Élections parlementaires | Variable – non planifié
GB | RICS House Price Balance → Solde des prix immobiliers RICS | 12e – 01h01
GB | RMPI m/m → Indice des prix de détail en magasin | 1er mercredi – 01h01
GB | RPI y/y → Indice des prix de détail | 3e mercredi – 08h00
GB | RatingDog Manufacturing PMI → Indice des directeurs d'achat manufacturier RatingDog | 1er jour ouvré – 00h00
GB | RatingDog Services PMI → Indice des directeurs d'achat des services RatingDog | 5e jour ouvré – 00h00
GB | Rightmove HPI m/m → Indice des prix immobiliers Rightmove | 15e – 01h01
GB | Westpac Consumer Sentiment → Sentiment des consommateurs Westpac | Variable

## 🇯🇵 JAPON – 26 événements
JP | BOJ Core CPI y/y → Indice des prix à la consommation sous-jacent de la BoJ | Trimestriel – 01h30
JP | BOJ Gov Ueda Speaks → Discours du gouverneur Ueda | Variable
JP | BOJ Outlook Report → Rapport prospectif de la Banque du Japon | Trimestriel – 03h00
JP | BOJ Policy Rate → Taux directeur de la Banque du Japon | BOJ – 03h00-05h00
JP | BOJ Press Conference → Conférence de presse de la Banque du Japon | BOJ – 06h30
JP | BOJ Summary of Opinions → Résumé des opinions de la Banque du Japon | 8 jours après – 01h50
JP | Bank Lending y/y → Prêts bancaires | 8e – 01h50
JP | Caixin Manufacturing PMI → Indice des directeurs d’achat manufacturier Caixin | 1er jour ouvré – 02h45
JP | Caixin Services PMI → Indice des directeurs d’achat des services Caixin | 5e jour ouvré – 02h45
JP | Cash Rate → Taux au comptant | BOJ – 03h00-05h00
JP | Core Machinery Orders m/m → Commandes de machines cœur | 15e – 01h50
JP | Current Account → Compte courant | 8e – 01h50
JP | Economy Watchers Sentiment → Sentiment des observateurs économiques | 8e – 07h00
JP | Fixed Asset Investment ytd/y → Investissement en actifs fixes (cumul annuel) | 15e – 01h50
JP | Foreign Currency Reserves → Réserves de devises étrangères | 7e – 01h50
JP | GDP q/y → Produit intérieur brut (glissement annuel) | Trimestriel – 01h50
JP | Manufacturing Production m/m → Production manufacturière | 30e – 01h50
JP | National Core CPI y/y → Indice des prix à la consommation national sous-jacent | 20e – 01h30
JP | New Loans → Nouveaux prêts | 8e – 01h50
JP | Prelim Machine Tool Orders y/y → Commandes de machines-outils préliminaires | 10e – 08h00
JP | Private Loans y/y → Prêts au secteur privé | 8e – 01h50
JP | Tankan Manufacturing Index → Indice Tankan du secteur manufacturier | 1er avril, juillet, oct., janv. – 01h50
JP | Tankan Non-Manufacturing Index → Indice Tankan du secteur non manufacturier | 1er avril, juillet, oct., janv. – 01h50
JP | Tertiary Industry Activity m/m → Activité dans le secteur tertiaire | 15e – 05h30
JP | Tokyo Core CPI y/y → Indice des prix à la consommation sous-jacent de Tokyo | Dernier vendredi – 01h30
JP | Upper House Elections → Élections à la Chambre haute | Variable

## 🇦🇺 AUSTRALIE – 21 événements
AU | ANZ Business Confidence → Confiance des entreprises ANZ | 30e – 03h30
AU | ANZ Commodity Prices m/m → Prix des matières premières ANZ | 1er jour ouvré – 04h00
AU | ANZ Job Advertisements m/m → Annonces d'emploi ANZ | 1er lundi – 03h30
AU | Average Cash Earnings y/y → Salaires en espèces moyens | Variable
AU | Building Approvals m/m → Approbations de construction | 1er jour ouvré – 03h30
AU | Building Consents m/m → Autorisations de construction | 1er jour ouvré – 03h30
AU | NAB Business Confidence → Confiance des entreprises NAB | 2e mardi – 03h30
AU | NAB Quarterly Business Confidence → Confiance des entreprises trimestrielle NAB | Trimestriel – 03h30
AU | Private Capital Expenditure q/q → Dépenses en capital privé | Trimestriel
AU | RBA Annual Report → Rapport annuel de la RBA | Septembre – 03h30
AU | RBA Assist Gov Hunter Speaks → Discours du gouverneur adjoint Hunter (RBA) | Variable
AU | RBA Assist Gov Jones Speaks → Discours du gouverneur adjoint Jones (RBA) | Variable
AU | RBA Assist Gov Kent Speaks → Discours du gouverneur adjoint Kent (RBA) | Variable
AU | RBA Bulletin → Bulletin de la RBA | Trimestriel – 03h30
AU | RBA Deputy Gov Hauser Speaks → Discours du vice-gouverneur Hauser (RBA) | Variable
AU | RBA Financial Stability Review → Revue de stabilité financière de la RBA | Avril & Oct. – 03h30
AU | RBA Gov Bullock Speaks → Discours du gouverneur Bullock (RBA) | Variable
AU | RBA Monetary Policy Statement → Déclaration de politique monétaire de la RBA | Trimestriel – 03h30
AU | RBA Press Conference → Conférence de presse de la RBA | Trimestriel – 04h30
AU | RBA Rate Statement → Déclaration sur les taux de la RBA | Variable – 05h30
AU | Wage Price Index q/q → Indice des salaires | Trimestriel – 03h30

## 🇳🇿 NOUVELLE-ZÉLANDE – 14 événements
NZ | BusinessNZ Manufacturing Index → Indice manufacturier BusinessNZ | 10e – 22h30 (veille)
NZ | BusinessNZ Services Index → Indice des services BusinessNZ | 5e – 22h30 (veille)
NZ | Consumer Credit m/m → Crédit à la consommation | 30e – 03h00
NZ | NHPI m/m → Indice des prix immobiliers | Mensuel – 03h00
NZ | NZIER Business Confidence → Confiance des entreprises NZIER | Trimestriel – 03h00
NZ | Official Cash Rate → Taux officiel de trésorerie | RBNZ – 02h00
NZ | Private Sector Credit m/m → Crédit au secteur privé | 30e – 03h00
NZ | RBNZ Financial Stability Report → Rapport de stabilité financière de la RBNZ | Mai & Nov. – 22h00 (veille)
NZ | RBNZ Gov Hawkesby Speaks → Discours du gouverneur Hawkesby | Variable
NZ | RBNZ Gov Orr Speaks → Discours du gouverneur Orr | Variable
NZ | RBNZ Monetary Policy Statement → Déclaration de politique monétaire de la RBNZ | Trimestriel – 02h00
NZ | RBNZ Press Conference → Conférence de presse de la RBNZ | Trimestriel – 03h00
NZ | RBNZ Rate Statement → Déclaration sur les taux de la RBNZ | RBNZ – 02h00
NZ | Visitor Arrivals m/m → Arrivées de visiteurs | 20e – 22h45 (veille)

## 🇨🇦 CANADA – 22 événements
CA | BOC Business Outlook Survey → Enquête sur les perspectives des entreprises de la BoC | Trimestriel – 15h30
CA | BOC Financial System Review → Revue du système financier de la BoC | Mai & Nov. – 15h45
CA | BOC Gov Macklem Speaks → Discours du gouverneur Macklem | Variable
CA | BOC Monetary Policy Report → Rapport de politique monétaire de la BoC | Trimestriel – 15h45
CA | BOC Press Conference → Conférence de presse de la BoC | Trimestriel – 16h15
CA | BOC Rate Statement → Déclaration sur les taux de la BoC | BOC – 15h45
CA | BOC Summary of Deliberations → Résumé des délibérations de la BoC | 2 semaines après – 15h45
CA | Capital Spending q/y → Dépenses en capital | Trimestriel – 14h30
CA | Company Operating Profits q/q → Bénéfices d’exploitation des entreprises | Trimestriel – 14h30
CA | Consumer Inflation Expectations → Attentes d’inflation des consommateurs | Trimestriel – 14h30
CA | Corporate Profits q/q → Bénéfices des sociétés | Trimestriel – 14h30
CA | Credit Card Spending y/y → Dépenses par carte de crédit | Mensuel – 14h30
CA | Employment Change → Variation de l’emploi canadien | 1er vendredi – 14h30
CA | GDP m/m → Produit intérieur brut canadien | 30e – 14h30
CA | Gov Council Member Gravelle Speaks → Discours du membre Gravelle du Conseil | Variable
CA | Gov Council Member Kozicki Speaks → Discours du membre Kozicki du Conseil | Variable
